,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,MPa,Error_GRF,MechWork,ErrorMom,RoM,Experiment No.
0,14.696,19.445999999999998,6.146,2.346,9.312000000000001,10.737,18.179000000000002,2.029,7.254,9.471,1678.2294,0.04515477449718836,5.343820031925327,1.0961316226733755,32.63034244655999,1.0
1,10.262,2.9789999999999996,10.262,17.546,10.895999999999999,17.070999999999998,10.104,11.687999999999999,8.046,15.013,1955.9683,0.045629627824816936,8.250567846991789,0.8256464163175233,21.4689645768,2.0
2,15.013,9.629,18.021,8.679,6.146,19.921,11.687999999999999,15.329,8.521,15.487,200.6728,0.027874555916087243,0.3756847617493291,0.49704293342415007,2.3608188630000018,3.0
3,9.629,7.571000000000001,1.396,8.204,17.229,13.904000000000002,1.238,12.954,5.196000000000001,14.220999999999998,1803.7338,0.02617723084846797,0.5422188671344552,2.9782477733854504,42.4349565211,4.0
4,4.404,3.7710000000000004,15.329,18.654,13.904000000000002,10.895999999999999,8.521,18.338,7.412999999999999,1.871,1482.6569,0.04506371389968722,7.346180699556534,0.7968864609150693,25.117911815200003,5.0
5,18.021,18.179000000000002,12.638,6.146,5.354,2.504,12.479000000000001,5.5120000000000005,9.946,1.554,2194.7051,0.033668433925552584,0.07893497920107463,0.3563467916527673,3.379735947000004,6.0
6,8.996,1.238,14.062000000000001,8.046,13.429,8.837,13.112,14.062000000000001,16.912,11.687999999999999,1850.5992,0.024489496633242056,0.1108767498244798,2.8821679830612683,26.77049677094,7.0
7,14.854000000000001,19.921,5.987,14.062000000000001,11.212,13.112,8.996,6.779,4.404,5.671,482.2107,0.026388533902402617,0.6075014833369295,0.4499948747377405,4.358280181000005,8.0
8,5.196000000000001,16.438,2.504,16.596,8.837,5.038,13.745999999999999,8.204,8.996,5.5120000000000005,1595.7269,0.04644041799543477,11.443862681744655,1.9017641870932247,35.31059397778,9.0
9,8.046,4.087,7.254,12.796,15.329,5.196000000000001,4.087,7.888,13.270999999999999,16.438,1141.3389,0.023170118401819026,2.579922672913405,0.5356709356128815,13.105697632000004,10.0
10,4.562,5.5120000000000005,12.796,16.438,9.154,18.021,1.396,14.538,1.079,7.729,3176.9409,0.0408807330825337,3.3695189463473083,0.5199559754229297,17.178618430999993,11.0
11,12.162,12.321,16.754,15.329,16.121,2.9789999999999996,18.812,13.429,6.462000000000001,15.804,259.4322,0.035807688096843183,0.17021229970250798,0.34154017981028845,1.4310150149999998,12.0
12,11.054,1.554,7.888,12.479000000000001,9.471,16.438,5.038,3.613,4.562,14.696,2134.4028,0.03331402850387795,0.3138720244061239,2.7990319817669165,26.970015741807998,13.0
13,1.554,12.479000000000001,18.338,4.246,17.070999999999998,16.912,18.496,11.370999999999999,3.7710000000000004,19.288,1941.1106,0.01824460337668901,0.0,0.9976263919504886,42.581371307,14.0
14,13.745999999999999,7.888,17.229,5.038,14.854000000000001,1.871,8.046,6.621,15.804,9.154,525.4895,0.029625289792360718,0.4891254052731941,0.3843982894494717,6.201852798000001,15.0
15,18.971,14.379000000000001,13.270999999999999,18.021,15.645999999999999,4.562,17.070999999999998,4.087,14.062000000000001,12.162,249.7846,0.0420317599139694,0.06731869999146789,0.4712311453140006,0.8702335350000006,16.0
16,16.279,1.079,19.288,1.079,11.054,11.687999999999999,7.254,9.946,2.346,7.412999999999999,3473.4702,0.031132684883617395,0.0987719431151335,2.8503450425081525,32.8558245005,17.0
17,3.2960000000000003,3.613,1.079,17.387999999999998,11.845999999999998,15.013,5.671,13.904000000000002,15.645999999999999,4.404,2128.6934,0.01563261444869608,0.7126927536658825,2.9002665785379307,43.476477682399995,18.0
18,7.729,4.721,4.879,12.321,18.021,1.712,4.721,2.346,14.379000000000001,16.754,868.3819,0.025219726809107,2.6854190264326645,0.4848539123398018,15.672714234,19.0
19,12.479000000000001,12.954,6.938,2.029,16.912,18.179000000000002,12.321,8.362,9.471,2.504,1715.4872,0.04809576385885712,7.7920338850422315,1.7656608812812598,34.943721361378,20.0
20,16.912,13.745999999999999,3.2960000000000003,4.879,12.954,8.204,7.096,10.737,7.888,12.321,1509.1078,0.04276832610323345,5.659794322810371,0.82629377044246,25.8166527746,21.0
21,5.829,13.112,9.471,14.696,5.5120000000000005,19.445999999999998,10.421,18.971,11.529000000000002,4.721,562.4034,0.022183194148496982,1.6934220117076697,0.5898479215324705,9.051836014000003,22.0
