,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,dim 11,dim 12,MPa,Error_GRF,MechWork,ErrorMom,RoM,Experiment No.
24,0.818,2.041,0.036000000000000004,1.2429999999999999,0.322,14.05,0.218,0.866,0.9109999999999999,0.738,0.521,0.735,619.4037,0.02725382624068666,8.622049404777611,1.8165567793179944,23.63392418598,25.0
25,0.10800000000000001,1.103,0.096,1.723,0.33799999999999997,89.65,0.158,0.6409999999999999,0.879,0.628,0.8959999999999999,0.905,609.4205,0.024664898630696444,7.880180554807676,1.4470470416691932,25.02389192594,26.0
26,0.708,0.693,0.204,0.91,0.6779999999999999,59.05,0.847,0.778,0.919,0.8290000000000001,0.589,0.884,593.6218,0.014925888392283725,3.815711829732404,0.7823845357417006,22.7657408718,27.0
27,0.903,1.305,0.17600000000000002,0.8240000000000001,0.914,13.15,0.638,0.87,0.836,0.98,0.139,0.867,702.7982,0.02299840200171897,10.635059740597004,0.990917345585704,31.33011251697,28.0
28,0.152,1.204,0.084,1.886,0.214,78.85,0.36200000000000004,0.643,0.8959999999999999,0.637,0.9640000000000001,0.9259999999999999,607.5067,0.026123819323315388,7.243997619576727,1.524910254445727,24.544515892501998,29.0
29,0.7979999999999999,1.2819999999999998,0.331,1.3130000000000002,0.326,-62.45,0.802,0.542,0.871,1.077,0.514,0.965,808.3789,0.021938760820516236,11.823409589710801,0.904979848226688,32.614560242666,30.0
30,0.992,1.8780000000000001,0.109,1.057,0.774,-4.85,0.943,0.861,1.0490000000000002,0.7709999999999999,1.2109999999999999,0.9740000000000001,651.5626,0.01809422465532189,6.097228063518622,1.3133064044191836,24.24751581297,31.0
31,0.857,0.902,0.276,1.382,0.466,6.85,0.28300000000000003,0.722,1.054,0.551,0.33399999999999996,0.731,657.6851,0.009503206388346713,4.851693606977372,1.1050759335451634,19.9422689082,32.0
32,0.532,0.941,0.22399999999999998,1.8159999999999998,0.9420000000000001,-8.45,0.23800000000000002,0.7709999999999999,1.014,0.741,0.349,0.87,680.7991,0.02101360680971645,10.300859605875266,1.4304020749366861,24.32763752355,33.0
33,0.32799999999999996,0.972,0.22899999999999998,2.049,0.6659999999999999,27.55,0.252,0.7190000000000001,1.081,0.7929999999999999,1.151,0.774,689.9025,0.02435107620795284,9.34502783748708,1.3589915969017992,26.020020664039997,34.0
34,0.758,0.669,0.371,2.1109999999999998,0.654,-74.15,0.828,0.74,0.826,0.945,0.281,0.98,722.4357,0.03639586693089935,13.304349635979069,1.6065399771158593,28.32481965428,35.0
35,0.762,2.165,0.456,1.8940000000000001,0.6940000000000001,39.25,0.092,0.89,0.9159999999999999,0.67,1.466,0.7609999999999999,531.1647,0.02741606231070318,4.232138392247639,1.8002323623791787,20.8172241602,36.0
36,0.602,0.894,0.031,1.297,0.93,-48.95,0.622,0.578,1.239,0.708,0.784,0.9109999999999999,588.2333,0.009573118435753454,1.7692529122249252,0.6362410380012996,22.83710998313,37.0
37,0.158,1.189,0.401,1.9480000000000002,0.262,16.75,0.368,0.6970000000000001,0.8690000000000001,0.835,0.971,0.84,648.3273,0.03150522755125421,11.594535363943105,1.3632341883913346,27.555478599222997,38.0
38,0.742,0.7240000000000001,0.321,2.01,0.374,-53.45,0.992,0.825,0.9690000000000001,0.5760000000000001,0.7240000000000001,0.7190000000000001,617.3225,0.011694795812128041,3.110109293781732,1.8534066801777156,18.516161486199998,39.0
39,0.828,0.91,0.369,0.902,0.594,17.65,0.562,0.688,0.934,0.848,0.191,0.9059999999999999,658.1664,0.015069833119377572,6.6233278571021605,0.929942583046244,25.149468421999998,40.0
40,0.262,2.157,0.091,2.15,0.61,45.55,0.46799999999999997,0.609,0.894,0.815,0.004,0.7909999999999999,631.7177,0.04318444738683185,1.299056851104511,2.333684711742615,25.05350125595,41.0
41,0.402,2.002,0.29600000000000004,1.925,0.97,82.45,0.48200000000000004,0.573,0.9990000000000001,0.56,0.754,0.971,602.3781,0.026570900995164085,0.7562322242341856,2.489611734468398,19.32236099203,42.0
42,0.748,0.995,0.10099999999999999,2.033,0.75,-24.65,0.45799999999999996,0.7040000000000001,1.099,0.7440000000000001,0.716,0.885,693.7963,0.017203061608330655,6.88626893647355,1.4687248879044,23.418185427890002,43.0
43,0.8220000000000001,0.7,0.301,1.212,0.36200000000000004,57.25,0.272,0.7490000000000001,1.016,1.046,1.264,0.851,770.8202,0.015837937008745345,5.418217310102622,0.628510566682899,29.068795681300003,44.0
44,0.6679999999999999,2.072,0.254,0.917,0.526,-43.55,0.698,0.879,1.024,0.802,1.219,0.96,696.1259,0.023954461851236127,8.758670756880786,1.5131717696987228,24.497406542329998,45.0
45,0.318,0.848,0.244,0.8009999999999999,0.342,93.25,0.578,0.8320000000000001,1.021,0.6809999999999999,1.301,0.8190000000000001,643.2911,0.01372665757598712,1.7858491332384778,0.6373945809663978,23.3743338589,46.0
46,0.242,1.072,0.41600000000000004,1.22,0.87,9.55,0.502,0.6859999999999999,0.9840000000000001,0.975,0.41600000000000004,0.9620000000000001,746.685,0.0181758496927812,8.701616391835968,0.9102794362426913,29.8299884794,47.0
47,0.6779999999999999,0.662,0.08900000000000001,0.7,0.5379999999999999,19.45,0.862,0.589,0.7809999999999999,1.016,1.2790000000000001,0.8340000000000001,684.3215,0.011529345057447404,3.9152336323956347,0.5908538997630731,23.890499115,48.0
48,0.198,0.778,0.47100000000000003,0.9329999999999999,0.486,-40.85,0.442,0.616,1.041,0.7879999999999999,1.474,0.7340000000000001,663.5467,0.011527406231479187,3.6152235148849705,0.7911902592175021,19.920191287799998,49.0
49,0.08800000000000001,1.723,0.431,2.119,0.682,-38.15,0.9620000000000001,0.591,0.9440000000000001,0.9309999999999999,1.069,0.8759999999999999,682.9467,0.03476577098737026,9.426382709777688,2.04378027173354,28.557148783933002,50.0
50,0.728,1.855,0.46399999999999997,0.755,0.35,25.75,0.968,0.7909999999999999,0.8009999999999999,1.002,0.10099999999999999,0.995,750.1648,0.03337889169743732,13.107227559674294,1.1694502028599552,31.41121044802,51.0
51,0.018000000000000002,1.5759999999999998,0.001,1.0490000000000002,0.922,50.95,0.752,0.742,1.186,0.639,0.341,0.9990000000000001,656.1879,0.013213274827880943,3.315630775991848,0.7116231113038357,23.171602755370003,52.0
52,0.883,0.9640000000000001,0.341,2.0180000000000002,0.726,99.55,0.228,0.605,1.0290000000000001,1.0190000000000001,0.39399999999999996,0.828,736.5024,0.04290083364100489,10.3161219704543,0.9089753515118488,35.68747189642001,53.0
53,0.43200000000000005,2.049,0.439,1.173,0.706,8.65,0.938,0.596,0.9309999999999999,0.73,0.131,0.993,619.7446,0.019028112094279882,6.575154337836128,2.0319849097737546,23.06491903914,54.0
54,0.473,2.088,0.136,1.08,0.626,-48.05,0.9079999999999999,0.78,1.056,0.9390000000000001,1.3840000000000001,0.9420000000000001,696.7885,0.024217150799757028,10.696554155913116,1.5638769868104008,27.81348864769,55.0
55,0.998,2.095,0.419,1.506,0.5579999999999999,-21.05,0.358,0.917,0.7759999999999999,0.645,0.8059999999999999,0.8490000000000001,579.8752,0.03055867748197738,0.1157093820713698,2.2278456154318937,20.031913489089998,56.0
56,0.002,1.661,0.444,2.095,0.23399999999999999,79.75,0.44799999999999995,0.9129999999999999,1.1740000000000002,0.716,0.17600000000000002,0.725,601.4103,0.037161666342793935,7.3223472430845655,1.2407974336554488,23.965820819450002,57.0
57,0.852,0.7929999999999999,0.021,1.088,0.23800000000000002,-39.95,0.08199999999999999,0.562,0.961,0.868,0.064,0.7440000000000001,698.1351,0.0124354610254555,7.3738027778362,0.8901183006368107,24.1668629644,58.0
58,0.078,1.274,0.319,0.685,0.7979999999999999,-45.35,0.6629999999999999,0.6920000000000001,1.071,0.6859999999999999,0.22899999999999998,0.7709999999999999,221.7747,1.1065130599941253,0.009439090958064729,2.451554491204837,2.8849411009999986,59.0
59,0.552,1.995,0.114,0.948,0.42200000000000004,21.25,0.653,0.731,0.971,0.568,0.941,0.773,626.1664,0.0159750123315358,0.038715754700231135,1.6393933849127624,19.28207448142,60.0
60,0.068,1.545,0.099,0.894,0.402,34.75,0.648,0.9309999999999999,1.061,0.9940000000000001,1.0090000000000001,0.935,754.4254,0.019988336844766343,8.880541539166552,0.8724711446714571,31.4616267685,61.0
61,0.5379999999999999,2.033,0.179,1.6540000000000001,0.43799999999999994,-54.35,0.948,0.9329999999999999,1.004,0.675,0.079,0.903,676.4035,0.021669274395226097,0.08990270191129802,1.95222173920194,21.14002397684,62.0
