,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,Element,Part,Time,MPa,Error_GRF,MechWork,ErrorAng,ErrorMom,QS,Energy Gen,Energy Abs,RoM,Experiment No.
10,4.562,5.512,12.796,16.438,9.154,18.021,1.396,14.538,1.079,7.729,2.0,30.0,32.0,3176.9409,0.0408807330825337,3.369518946347308,1.5977144821675076,0.5199559754229297,1.0588352287952185,13.649198849029228,4.824132380610352,17.178618430999997,11.0
11,12.162,12.321,16.754,15.329,16.121,2.979,18.812,13.429,6.462,15.804,5.0,23.0,8.0,259.4322,0.03580768809684318,0.17021229970250798,1.3969307340054755,0.34154017981028845,0.869235456907882,6.797494403573754,0.5795069502194241,1.4310150149999998,12.0
12,11.054,1.554,7.888,12.479,9.471,16.438,5.038,3.613,4.562,14.696,5.0,6.0,116.0,2134.4028,0.03331402850387795,0.3138720244061239,2.5140159082407645,2.7990319817669165,2.6565239450038405,9.404699454262612,3.156150552147375,26.970015741808,13.0
13,1.554,12.479,18.338,4.246,17.071,16.912,18.496,11.371,3.771,19.288,2.0,3.0,100.0,1941.1106,0.018244603376689015,0.0,2.373042074802605,0.9976263919504886,1.6853342333765466,13.101722441535378,4.561831748866877,42.581371307,14.0
14,13.746,7.888,17.229,5.038,14.854,1.871,8.046,6.621,15.804,9.154,2.0,23.0,7.0,525.4895,0.02962528979236072,0.4891254052731941,1.4698358971319763,0.3843982894494717,0.927117093290724,7.0115135630189345,1.35063347733101,6.201852798000001,15.0
15,18.971,14.379,13.271,18.021,15.646,4.562,17.071,4.087,14.062,12.162,1.0,28.0,5.0,249.7846,0.042031759913969395,0.06731869999146789,1.4118685345120288,0.4712311453140006,0.9415498399130147,6.828357291520475,0.46701027025025166,0.8702335350000006,16.0
16,16.279,1.079,19.288,1.079,11.054,11.688,7.254,9.946,2.346,7.413,2.0,13.0,25.0,3473.4702,0.031132684883617392,0.0987719431151335,1.0900108333665253,2.8503450425081525,1.970177937937339,19.51656494801991,7.828124053254296,32.8558245005,17.0
17,3.296,3.613,1.079,17.388,11.846,15.013,5.671,13.904,15.646,4.404,8.0,9.0,100.0,2128.6934,0.01563261444869608,0.7126927536658825,2.2758140245847716,2.9002665785379307,2.5880403015613513,11.214843058859659,3.1608225887364396,43.4764776824,18.0
18,7.729,4.721,4.879,12.321,18.021,1.712,4.721,2.346,14.379,16.754,4.0,5.0,99.0,868.3819,0.025219726809107,2.6854190264326645,1.5557168240310513,0.48485391233980174,1.0202853681854265,8.793048652177767,2.928770099310413,15.672714233999999,19.0
19,12.479,12.954,6.938,2.029,16.912,18.179,12.321,8.362,9.471,2.504,23.0,13.0,105.0,1715.4872,0.04809576385885712,7.792033885042231,2.458050529400058,1.7656608812812598,2.111855705340659,11.2223967486964,3.9477367064432127,34.943721361377996,20.0
